measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Global,Both,25 to 29,Lower respiratory infections,Number,2014,18636.531912415783,19920.521231245024,17098.582411337204
Deaths,Global,Both,30 to 34,Lower respiratory infections,Number,2014,21315.816125159312,22728.10651612129,19684.30149904992
Deaths,Global,Both,35 to 39,Lower respiratory infections,Number,2014,26060.17458085061,27871.321401778503,24141.933007618092
Deaths,Global,Both,40 to 44,Lower respiratory infections,Number,2014,31622.717675859007,33584.80995035955,29241.18274041544
Deaths,Global,Both,45 to 49,Lower respiratory infections,Number,2014,40594.53805474873,43236.0441571877,37390.59436205279
Deaths,Global,Both,50 to 54,Lower respiratory infections,Number,2014,59881.589584076035,63220.71488484361,53684.79616007239
Deaths,Global,Both,55 to 59,Lower respiratory infections,Number,2014,76628.20212826457,80364.02607464202,69178.74694388353
Deaths,Global,Both,60 to 64,Lower respiratory infections,Number,2014,110050.50154743322,115344.08831454266,99856.86525705367
Deaths,Global,Both,65 to 69,Lower respiratory infections,Number,2014,132675.2903866933,138569.17068364302,118235.52554266037
Deaths,Global,Both,70 to 74,Lower respiratory infections,Number,2014,170513.32822469392,178180.32307532307,155815.56341670515
Deaths,Global,Both,75 to 79,Lower respiratory infections,Number,2014,204110.04859052913,215949.44454831255,190365.0561240825
Deaths,Global,Both,1 to 4,Lower respiratory infections,Number,1995,548727.769643887,622181.7967868157,462198.72856232454
Deaths,Global,Both,5 to 9,Lower respiratory infections,Number,1995,64778.65348239071,73015.86939397015,52531.83728658413
Deaths,Global,Both,10 to 14,Lower respiratory infections,Number,1995,23317.176788576948,25551.890238566142,19754.911855205308
Deaths,Global,Both,15 to 19,Lower respiratory infections,Number,1995,17615.917722511927,18896.920885302006,15622.260454561238
Deaths,Global,Both,20 to 24,Lower respiratory infections,Number,1995,19481.406352504517,20744.018692684185,17503.36916938861
Deaths,Global,Both,25 to 29,Lower respiratory infections,Number,1995,21890.636895589294,23107.934980799448,19383.594798868642
Deaths,Global,Both,30 to 34,Lower respiratory infections,Number,1995,22941.502970568505,24174.44407542644,20867.908545099133
Deaths,Global,Both,35 to 39,Lower respiratory infections,Number,1995,25663.67481645949,27497.11250932351,23686.67073445077
Deaths,Global,Both,40 to 44,Lower respiratory infections,Number,1995,30623.242851357576,32379.8536240392,28258.511120624204
Deaths,Global,Both,45 to 49,Lower respiratory infections,Number,1995,33931.38413351397,35876.92293161083,31239.89679633117
Deaths,Global,Both,50 to 54,Lower respiratory infections,Number,1995,41257.68782030827,44210.93339729726,37358.57683923293
Deaths,Global,Both,55 to 59,Lower respiratory infections,Number,1995,54776.20967344382,57805.4555804211,50201.04691191899
Deaths,Global,Both,60 to 64,Lower respiratory infections,Number,1995,81968.9577711265,86472.41477912948,74089.35672623247
Deaths,Global,Both,65 to 69,Lower respiratory infections,Number,1995,102814.72397464672,108679.43106168853,93399.62724758299
Deaths,Global,Both,70 to 74,Lower respiratory infections,Number,1995,130788.34076989318,138092.01986812006,120826.6072309617
Deaths,Global,Both,75 to 79,Lower respiratory infections,Number,1995,141190.22127687378,150039.9036129233,132105.88046490177
Deaths,Global,Both,1 to 4,Lower respiratory infections,Number,1999,467537.1779005836,531395.9614331643,392541.9307775904
Deaths,Global,Both,5 to 9,Lower respiratory infections,Number,1999,53244.06437846052,59526.36610874409,44361.69902551198
Deaths,Global,Both,10 to 14,Lower respiratory infections,Number,1999,23111.358017811443,25281.92544153303,19662.868264732297
Deaths,Global,Both,15 to 19,Lower respiratory infections,Number,1999,17784.381145699677,19020.37916366669,15947.92304616966
Deaths,Global,Both,20 to 24,Lower respiratory infections,Number,1999,18900.08010224099,20288.047611837053,17280.74172152411
Deaths,Global,Both,25 to 29,Lower respiratory infections,Number,1999,21767.86551671119,23141.21218586542,19800.873607497237
Deaths,Global,Both,30 to 34,Lower respiratory infections,Number,1999,23414.076603668535,24893.66925982102,21420.270471662207
Deaths,Global,Both,35 to 39,Lower respiratory infections,Number,1999,27145.934656714606,28937.779720748746,24888.898056725506
Deaths,Global,Both,40 to 44,Lower respiratory infections,Number,1999,31318.499052871546,33025.160402136746,28856.3834280643
Deaths,Global,Both,45 to 49,Lower respiratory infections,Number,1999,38058.59108335318,40153.80487006439,34786.67454451742
Deaths,Global,Both,50 to 54,Lower respiratory infections,Number,1999,44900.60276539914,47934.22733765676,40752.886112822904
Deaths,Global,Both,55 to 59,Lower respiratory infections,Number,1999,55241.12962861981,58283.69546695393,50293.760921821115
Deaths,Global,Both,60 to 64,Lower respiratory infections,Number,1999,84412.59405556343,88749.54142455287,76454.7058502073
Deaths,Global,Both,65 to 69,Lower respiratory infections,Number,1999,108875.02503624353,115085.64584818203,98858.94318727912
Deaths,Global,Both,70 to 74,Lower respiratory infections,Number,1999,142241.436132752,150608.37876873094,132170.4365401189
Deaths,Global,Both,75 to 79,Lower respiratory infections,Number,1999,157443.706801336,167693.75575976423,147974.6170006283
Deaths,Global,Both,1 to 4,Lower respiratory infections,Number,2003,388279.4451250616,439807.391560214,324772.7879626156
Deaths,Global,Both,5 to 9,Lower respiratory infections,Number,2003,41412.96445775205,46471.204118204005,35186.11605501037
Deaths,Global,Both,10 to 14,Lower respiratory infections,Number,2003,19158.44698367674,21244.303961410656,16687.68428641554
Deaths,Global,Both,15 to 19,Lower respiratory infections,Number,2003,16892.564931408055,18187.823196816527,15446.080934580355
Deaths,Global,Both,20 to 24,Lower respiratory infections,Number,2003,17913.19968449274,19507.42279059845,16535.856266660907
Deaths,Global,Both,25 to 29,Lower respiratory infections,Number,2003,20651.352723728447,21978.70130800575,18897.190131651103
Deaths,Global,Both,30 to 34,Lower respiratory infections,Number,2003,23171.417457434065,24640.32337775732,21327.65248337207
Deaths,Global,Both,35 to 39,Lower respiratory infections,Number,2003,28073.773696363267,29951.99000998089,25957.3080790835
Deaths,Global,Both,40 to 44,Lower respiratory infections,Number,2003,33192.2905484815,35239.421238492374,30883.64200722111
Deaths,Global,Both,45 to 49,Lower respiratory infections,Number,2003,39900.56116360063,42518.62530278685,37144.74591606528
Deaths,Global,Both,50 to 54,Lower respiratory infections,Number,2003,52346.27683558545,55819.419265631805,48183.50684276908
Deaths,Global,Both,55 to 59,Lower respiratory infections,Number,2003,57797.646828033234,61019.67933399616,52974.296976140715
Deaths,Global,Both,60 to 64,Lower respiratory infections,Number,2003,85110.84317947995,89774.29978717084,77822.06030389246
Deaths,Global,Both,65 to 69,Lower respiratory infections,Number,2003,111610.28377631256,117817.11210357999,101571.74149140698
Deaths,Global,Both,70 to 74,Lower respiratory infections,Number,2003,147957.60113213857,157852.5867296079,138208.44945876286
Deaths,Global,Both,75 to 79,Lower respiratory infections,Number,2003,168346.72087770546,180025.47497534833,159098.2490141383
Deaths,Global,Both,1 to 4,Lower respiratory infections,Number,2007,333371.56900745025,374066.3342400411,291689.4653717367
Deaths,Global,Both,5 to 9,Lower respiratory infections,Number,2007,38969.80822873324,43529.94679229469,33484.16324098242
Deaths,Global,Both,10 to 14,Lower respiratory infections,Number,2007,18089.428871810782,19993.61833727519,15716.46341441745
Deaths,Global,Both,15 to 19,Lower respiratory infections,Number,2007,15961.801290658492,17229.27651185103,14608.887402239487
Deaths,Global,Both,20 to 24,Lower respiratory infections,Number,2007,18217.80046750373,19685.461506353273,16683.160652924587
Deaths,Global,Both,25 to 29,Lower respiratory infections,Number,2007,19950.071801588634,21182.474285865617,18331.799491435133
Deaths,Global,Both,30 to 34,Lower respiratory infections,Number,2007,22702.408748580252,24090.50182197822,20883.25961862978
Deaths,Global,Both,35 to 39,Lower respiratory infections,Number,2007,27678.749693107548,29430.488367235394,25412.27296981287
Deaths,Global,Both,40 to 44,Lower respiratory infections,Number,2007,32954.10332862163,34994.47022756709,30383.7256219272
Deaths,Global,Both,45 to 49,Lower respiratory infections,Number,2007,40159.35350198048,42485.66062784247,37116.037573545225
Deaths,Global,Both,50 to 54,Lower respiratory infections,Number,2007,54430.30800864442,57793.98605532395,49506.8791233358
Deaths,Global,Both,55 to 59,Lower respiratory infections,Number,2007,65362.11191684106,68541.44299801708,59822.811676139325
Deaths,Global,Both,60 to 64,Lower respiratory infections,Number,2007,87471.66581638306,91749.92138227273,79063.97329194764
Deaths,Global,Both,65 to 69,Lower respiratory infections,Number,2007,113633.70828550789,119213.34692570158,102733.47223218913
Deaths,Global,Both,70 to 74,Lower respiratory infections,Number,2007,152262.9343284771,160213.785498007,140494.7094172103
Deaths,Global,Both,75 to 79,Lower respiratory infections,Number,2007,180468.50552924123,191714.2804042173,169252.98499445687
Deaths,Global,Both,1 to 4,Lower respiratory infections,Number,2011,275531.7563343061,308750.2592562013,240802.27878921005
Deaths,Global,Both,5 to 9,Lower respiratory infections,Number,2011,36162.52728916275,40093.897275410316,31326.67937891533
Deaths,Global,Both,10 to 14,Lower respiratory infections,Number,2011,17839.40632401716,19685.384937936647,15757.934013195107
Deaths,Global,Both,15 to 19,Lower respiratory infections,Number,2011,15351.779430992181,16544.361306432475,14000.94607833027
Deaths,Global,Both,20 to 24,Lower respiratory infections,Number,2011,17651.973237536742,19234.29326762671,16212.511130488328
Deaths,Global,Both,25 to 29,Lower respiratory infections,Number,2011,19704.20478915563,20956.254712164908,18065.34377662665
Deaths,Global,Both,30 to 34,Lower respiratory infections,Number,2011,21736.57506823382,23195.387112640383,20060.06750340752
Deaths,Global,Both,35 to 39,Lower respiratory infections,Number,2011,26539.900633992587,28393.054856825147,24536.822502799954
Deaths,Global,Both,40 to 44,Lower respiratory infections,Number,2011,31543.523059355146,33508.14327893961,29211.39984673604
Deaths,Global,Both,45 to 49,Lower respiratory infections,Number,2011,40368.564230461234,42917.24182985037,37196.22687161025
Deaths,Global,Both,50 to 54,Lower respiratory infections,Number,2011,56756.62626051109,59767.63627408126,51160.17115913839
Deaths,Global,Both,55 to 59,Lower respiratory infections,Number,2011,71836.33993577962,75248.09413016654,65210.015541507004
Deaths,Global,Both,60 to 64,Lower respiratory infections,Number,2011,101125.02862512138,105910.13274395303,91649.95623292688
Deaths,Global,Both,65 to 69,Lower respiratory infections,Number,2011,120748.8259940838,126560.3889533441,107619.83149429588
Deaths,Global,Both,70 to 74,Lower respiratory infections,Number,2011,163744.0228508914,170794.87514701244,150338.10681806738
Deaths,Global,Both,75 to 79,Lower respiratory infections,Number,2011,196133.00808913456,207743.8880307604,183519.18759695702
Deaths,Global,Both,1 to 4,Lower respiratory infections,Number,2015,226486.55675468023,257185.9141696953,195474.46067802783
Deaths,Global,Both,5 to 9,Lower respiratory infections,Number,2015,30896.49538174035,34366.8752169284,27111.873110315104
Deaths,Global,Both,10 to 14,Lower respiratory infections,Number,2015,15382.03970660835,17051.605497705343,13709.122105009454
Deaths,Global,Both,15 to 19,Lower respiratory infections,Number,2015,13309.83982738338,14418.395798461706,12204.941240358472
Deaths,Global,Both,20 to 24,Lower respiratory infections,Number,2015,15553.2484458001,16996.356482339957,14350.411834201615
Deaths,Global,Both,25 to 29,Lower respiratory infections,Number,2015,18386.182737546544,19641.56454525512,16870.689635078536
Deaths,Global,Both,30 to 34,Lower respiratory infections,Number,2015,21375.3884816526,22761.262233948873,19696.11592386629
Deaths,Global,Both,35 to 39,Lower respiratory infections,Number,2015,26289.574113797702,28035.31365433975,24342.60872778344
Deaths,Global,Both,40 to 44,Lower respiratory infections,Number,2015,32013.922463241848,33882.76274359429,29512.690802423145
Deaths,Global,Both,45 to 49,Lower respiratory infections,Number,2015,41081.69737909935,43780.13594642904,37788.9154102074
Deaths,Global,Both,50 to 54,Lower respiratory infections,Number,2015,61312.99275320829,64822.69988134649,54760.71136858842
